1000000 100000
1 18856 -630444131
1 468095 323247228
1 621878 571152403
1 417842 547527294
1 383970 584614323
1 726624 187952723
1 17515 333954899
1 960506 991904085
1 836786 -525804274
1 77428 -398041548
1 441016 848963807
1 835238 -706377140
1 516119 698528762
1 633032 -21325005
1 339436 -789336027
2 351539 701168
1 288879 -175642225
1 209455 -441707087
1 209340 663026610
1 944229 945593409
2 494738 981847
1 54047 -73486452
1 103007 546014409
1 762353 -347154909
2 132197 478092
1 541527 -54243368
1 755947 -901615093
2 63005 938530
1 809500 189380847
2 253459 772287
1 852606 -349726926
1 257822 -311263212
1 224152 132344996
2 148338 250085
1 783465 -214276565
1 390167 -142559356
1 25748 189362273
2 740578 801012
1 65361 153155721
2 481094 533256
1 538989 -353367471
1 915696 319088515
1 923875 990838011
1 408724 685510764
1 699779 7480623
1 484022 951535489
1 349993 -508848505
1 961207 -546824374
1 772509 -499409407
2 928460 991734
1 124643 -399351719
1 13481 105368246
1 647061 848951225
2 336632 717417
1 620002 791802313
2 449724 681406
1 511745 -811314161
1 842688 834613966
1 668960 -546207446
1 42287 -861981062
1 827247 536915228
1 17314 -99514275
2 194807 352244
1 477291 -985512468
1 808673 459257680
1 114714 800566200
2 453925 823969
1 863253 -371369846
2 19494 235871
1 916607 53481578
1 406347 189851170
1 163152 852937259
1 994559 999160026
1 90086 -7864439
1 540761 -888895678
2 117064 195570
1 792545 176810674
2 456446 852063
2 82965 737136
2 507596 522010
2 757615 975458
1 229068 -720660007
1 792837 -772722961
1 198664 800040220
2 107663 824169
1 15353 -646295704
2 443859 953710
2 423636 956902
1 426586 -122391625
1 423531 -901615540
2 497425 591907
1 951918 -405326654
1 79459 -306055876
1 530962 674883350
1 542866 66144619
1 582055 -316661654
1 74939 -793454141
1 785327 -670762740
1 178276 856676216
2 68597 442826
1 909682 738612529
1 850544 -621704218
1 858110 704020492
1 592555 -430239044
1 884450 -800579054
1 524714 -84927833
1 382159 697567464
1 430570 -186498039
1 444588 450786733
2 71155 523764
1 126495 254687331
2 320389 581373
2 735402 987807
1 790947 -647915692
1 494944 165530557
1 434185 187001144
1 69315 -916693013
2 128312 589813
1 677602 -333327657
1 111426 562645912
1 365910 847605778
1 505287 459464449
1 260730 -333647969
2 203525 735642
1 262828 -941712798
1 125795 311718245
1 950245 822973080
1 126430 28843521
2 254081 291134
1 355734 863605349
1 535883 197913930
1 627365 985152582
1 323638 530716888
2 541629 598649
1 752325 -819779884
1 781797 317819919
1 304308 298101055
1 387238 100579645
1 45449 602406390
1 10073 -485345332
2 108459 657897
1 836937 -272555787
1 812937 -263400756
1 13 689744827
1 707494 902302353
2 936603 988800
1 680073 434341739
1 653487 -712358821
2 669404 686389
1 933878 772505702
2 3092 739259
2 48769 91798
1 811697 -417293963
1 220458 -144684687
2 681402 699963
1 530888 292817259
1 137373 27398710
1 685353 -350417315
1 820025 -903592454
1 318996 -659978007
1 605078 -610643143
2 128790 260749
1 711997 441959024
1 954636 -921335417
2 367624 494046
1 510913 -630468180
1 68506 413317837
1 326477 -902735966
1 142531 -67277894
1 199526 -2568371
1 916739 437113350
1 234941 -62565154
2 204229 210004
1 378151 927913991
1 601996 895446797
1 207802 119805883
1 873899 -8129597
2 753068 967897
1 979838 770635750
1 193598 -496669627
1 380071 672462217
2 197675 622635
1 80571 995617202
2 657065 923255
1 94087 125079960
2 31126 523488
1 276485 -889991644
1 491283 660344164
1 965075 576523111
1 814879 755018612
1 889986 718603173
1 679057 707990536
1 35193 411782445
1 468425 565985930
2 93760 846514
1 81535 -440007442
2 109996 922417
1 385037 539048370
1 483420 -760744978
1 403927 -714334494
1 359803 -672128819
2 355559 817521
1 33230 -459839534
1 488849 771094721
1 507653 803524618
1 433046 47604298
1 250664 917496710
2 131170 146859
2 557019 649291
2 112075 904840
1 314438 819244986
1 428089 -452381193
1 933862 922573149
1 390644 497775047
2 688606 718921
1 871365 528741109
1 233896 263858513
2 378624 384356
1 417840 750907953
1 162176 278912494
2 558701 640000
1 149579 704218479
2 391235 476670
1 823278 796963055
1 977701 -560320819
1 508012 -481552753
1 351890 300091006
2 474044 970867
1 594506 476928853
1 32412 -33228861
1 752605 5256489
2 22699 987316
1 81492 -521928859
1 596910 -362039927
1 660857 441734686
2 217661 755747
1 143942 512402854
1 728335 171948746
1 543796 -622663175
1 945495 448847691
2 229514 374995
1 406000 694650698
1 997557 102112156
2 109297 940652
1 893046 353189518
1 323165 621139276
1 326202 843308098
1 261667 -913929431
1 951362 128710019
1 297404 155302709
1 225292 -913259570
2 56406 222795
1 785356 251614834
2 330715 960616
1 892119 473164377
1 250000 -887793315
1 29922 968162730
2 597343 901937
1 988584 -795247338
1 21204 -679322638
1 220510 162661965
2 91975 174160
1 372526 -231425580
1 947695 -231113687
1 969615 928612499
2 361784 795168
1 82318 -177165665
1 596590 161698728
1 311871 317460443
1 320254 638401576
1 383790 516992226
2 8604 263495
1 297707 242489933
1 508585 -650063267
1 138789 -200523400
1 701175 478602791
1 575051 -760667691
1 14486 778269291
2 129804 954244
1 858421 139349959
1 837130 315095515
1 241990 833498635
1 220742 815200231
1 466282 241548554
2 354707 637620
2 430068 715837
1 157909 -271384114
1 870405 -915503016
1 790710 168286004
1 331885 167420665
2 213161 588467
2 513145 840417
1 117608 -379910131
1 608661 -515981697
2 292448 294018
1 782335 475599857
2 379963 419249
2 447391 927838
2 489646 612927
1 272679 345800314
1 370623 -463684549
1 391940 94037060
1 296189 -370963424
1 189942 -214399402
1 478779 677439374
1 391433 922145391
1 164326 745321115
2 48820 66017
1 71214 -505112931
1 852788 794733211
1 211047 -781810069
1 926632 -93211305
2 132631 642203
1 502002 -210840787
2 174670 811380
1 502758 31828375
1 466001 694826910
1 494278 26627290
1 123987 -926890318
1 482126 747261449
1 670691 -513582687
1 661448 496321018
1 576839 70487291
1 511742 -690365764
2 6064 746890
1 491061 -53117795
2 28943 651149
1 367615 -226273742
1 365765 -809842466
1 509246 -792120508
2 353068 974306
1 617381 135726110
1 443672 718179719
1 538924 -661165811
1 661902 -405048122
1 283477 247941984
1 673110 -812067130
2 598352 711305
1 632427 -143937080
1 568489 -25611165
1 911796 870587885
2 650212 978101
1 71056 425596051
2 354183 654485
1 374574 373474431
2 17945 188134
1 536993 204578476
1 61800 660331674
2 253731 330565
1 449968 218382597
1 236932 532976125
1 92177 -520893762
1 677726 710432635
1 764738 -961291067
2 193222 274976
1 869526 -976578736
1 633751 422837561
2 332861 566293
1 885038 -603166105
1 774479 474471106
1 44933 483722747
2 179851 184810
1 628362 -351469729
1 912791 194810552
2 68928 457575
2 375321 690215
1 44817 -754698237
2 587746 902320
1 957434 8693553
1 842995 -216168289
2 145838 956122
2 782097 878464
1 417145 335735854
1 954126 -491664301
2 62556 515342
1 540777 654393033
2 47516 230933
1 856987 -236766441
2 397595 548963
2 371778 860713
2 202332 574747
1 262907 -552601996
1 216719 50461379
1 269 -699549250
2 563819 765933
2 249119 375223
1 289707 96198903
2 672463 968023
1 837073 -594740339
1 415694 -916512274
1 45901 368994692
2 288645 293382
1 744741 -926762650
1 734343 -862772070
1 434562 561191853
1 744635 -784998165
1 871848 512458080
1 414299 -596725592
1 45461 855926502
1 113512 -24487493
2 520704 822290
1 496097 -836527688
1 990250 -235489268
2 278500 775644
1 594591 -496064414
1 868065 750841629
1 126194 161783848
2 742335 910065
1 845803 -391507550
1 187985 -660858256
1 658107 539940057
1 652403 -414976249
1 877609 -36275145
2 63325 811216
1 30121 783322508
1 354046 529769467
1 815828 -35656079
1 566381 33981679
1 999270 922761488
1 310232 -996742069
1 266165 201010225
1 450024 349996479
1 994747 48933725
1 897621 -991451897
2 210286 722720
1 777630 -540078363
1 1116 -706854760
1 995766 322610089
1 552044 -547539279
1 214096 -186134158
1 653234 166495441
1 76759 -277195158
1 153694 -187764449
1 420545 -119586453
1 119119 274247502
1 862060 348279831
1 75998 -826015870
1 621829 171921709
1 957537 -26397214
1 741206 -846721909
1 842022 686450520
1 156051 -550430752
1 912685 799016610
1 821543 -575919251
1 440838 -963114475
2 181732 811179
1 789362 619371221
1 620201 414036523
1 660479 336961931
2 12654 879812
2 273186 518485
1 606052 -306258576
1 455206 321726672
1 536342 133306872
1 443260 -145510975
1 504159 -634048864
1 126218 98669324
1 763658 -639133653
2 518050 738940
1 347350 -309495735
1 886672 86451904
2 175654 509098
2 102380 124848
2 230292 590167
1 349782 -435985214
1 973761 -808246272
1 629355 -577489039
1 556172 -771352675
2 29168 79256
1 25791 -822729337
1 570629 303588960
2 80861 179771
1 154172 -275820607
1 709086 -841991835
1 384674 -852245396
1 597036 84437229
1 416225 -150113880
1 432122 185032660
1 263542 334610083
1 502065 -651460924
1 662020 -673782658
2 651976 881361
2 297290 560991
1 484605 336304595
2 235445 507101
1 365239 310084460
2 2045 172109
1 271604 972086874
1 5459 147501820
1 592261 -109312017
1 870311 -738052595
1 247170 -167940886
1 912202 325312277
1 408929 -297492927
1 527213 346455456
2 5349 199525
1 487393 -665100206
1 899310 -897750097
1 770502 969798740
1 502140 673876783
1 130678 -191191791
1 579085 657501132
2 162626 886902
1 774353 -786401107
1 287691 -415242722
1 918051 686327713
1 175153 -944814510
1 902808 750935644
1 338469 635201397
1 73937 631099949
1 199497 153406458
1 198422 191277587
1 183666 -453588539
2 251638 862883
2 116485 156058
1 844088 17426691
2 40102 216731
1 281734 252660496
1 3762 879656682
2 431678 678266
1 855921 -121561029
2 84716 281135
1 762232 -202836748
1 992474 803605688
2 481801 874089
1 597506 447514605
2 562322 715957
1 524381 931774967
1 542623 889747971
1 356894 -355582515
1 63093 654347611
2 51718 909601
1 648664 544478582
2 187626 508720
2 751819 848932
1 738524 -658577109
1 214780 670432215
1 940746 -451826316
2 484449 860232
1 576781 -735562807
1 55486 -32808060
1 542620 224889685
1 123740 -244618603
2 59534 382784
1 558605 -726915617
1 408093 691895078
1 323020 384360131
1 550 516036154
2 221639 545307
1 866946 -339340722
1 197619 202325365
1 740018 461684947
1 120136 -460114353
1 332991 -380215119
1 818670 324623559
1 62311 -332371186
1 110470 525689531
1 565839 -847283220
2 161862 471380
1 217578 668227255
1 848829 -19927551
2 84612 173538
1 515342 -350595673
1 716543 653657611
1 275984 685933592
1 561322 -216260264
2 288860 792048
1 880360 -840519985
2 325774 622785
1 608701 622461084
2 740695 928699
1 277270 291709956
2 259499 396432
1 397447 742645892
1 554753 234273912
1 705957 -565830089
2 365552 916859
2 332757 447773
1 765917 -799350721
1 982045 245078621
1 979214 851358275
1 662826 956212052
2 288555 657541
1 711688 -262299540
1 955878 222606561
1 368464 -348205375
2 519183 721982
1 148502 734645525
1 40973 -311260555
1 535823 -840796367
1 948065 -841128317
2 133433 493075
1 213646 71600468
1 759903 -806628502
2 45646 995563
2 323745 856552
2 822100 932060
1 247619 56252313
2 505347 627070
1 871107 -563890717
2 151470 841835
1 851110 -29222832
1 638482 -780003159
1 905577 156086589
2 372986 520915
1 655408 -469244756
1 303668 961088276
1 593101 797955918
1 601788 -390187229
1 597048 -638062512
1 247516 -576947350
2 93070 322086
1 878173 380600346
1 737902 -797523541
1 565497 -160253362
1 90248 -90859553
1 894980 -740918238
2 345056 650653
1 937081 589617495
2 651820 931800
1 491106 257460173
1 860582 -208912300
2 482987 784538
1 135306 -872167324
2 704115 918912
2 8198 312888
2 179754 597831
1 63819 -619806205
1 255368 76121514
1 464389 -721739291
1 923195 155824596
1 614564 137219852
2 641198 959185
1 442878 450711784
1 536825 764489494
1 494078 339585013
2 399418 590806
2 287835 512631
2 467222 487599
2 520718 844963
2 227029 481668
1 178069 623555622
1 7951 822588639
1 793080 -57719256
1 765610 -617155014
2 388608 805950
1 547036 9509225
1 596531 -227074077
1 126375 -979700178
1 895413 271383697
2 80017 239756
2 313882 558549
1 248611 -643444518
1 828706 -503328484
1 249962 -185085715
2 105772 419556
1 851253 -821552582
1 719094 21190597
2 757480 814588
1 656276 875694754
2 418295 723610
2 809063 982789
1 99821 -88390502
1 84596 -866116907
1 924057 301279706
2 23686 166305
1 639533 502870107
1 919060 670790881
1 199025 544196337
1 394155 -964993445
1 622815 -344704271
1 754103 683762137
1 7352 -815628938
1 616238 -132174777
1 104992 -996166702
1 859997 305544295
1 149150 -855174487
1 928809 -651759723
1 841132 398942017
1 845844 710524772
1 137393 -909137609
1 395132 395073077
1 89810 -895777512
2 178565 925090
1 681858 219203115
1 825358 981622164
1 277900 132907848
1 209356 -44883527
2 345429 501175
1 620687 431022906
2 156367 495647
1 663010 851842210
1 917891 595301690
1 721245 900568619
1 231310 -354612627
1 810135 -786212410
1 563700 -40824579
2 4302 228341
1 649308 560319597
1 195713 84902689
2 937996 985795
1 152464 304866252
1 147236 504612471
1 962827 604141397
1 204104 -331126171
1 217568 327602961
1 490794 437393426
1 831415 287029992
1 577675 -317244
2 118488 356133
2 302770 875040
1 704413 257751303
1 505357 -699679971
1 374166 -901543661
2 152023 285827
1 654925 -829515799
1 263197 400076700
1 789877 -987276259
1 762287 -48893478
1 408545 -523657655
1 489524 -568307081
1 737181 504027708
1 909033 -730562096
1 229255 -331632272
1 468254 -145835419
1 232372 946619140
1 633724 -737558205
1 320815 -242471061
1 355204 725156298
1 685691 407486799
1 173038 193236955
1 68530 456678333
1 977249 558829561
1 553080 547168693
1 653135 -978783748
2 162240 391445
1 711613 -131500475
1 716090 -892006607
1 142275 651297254
2 48131 785964
1 763933 439730332
1 248750 -641173749
1 275059 -272201921
1 648152 713755078
1 988650 -924468172
1 340062 259790144
1 947665 438928569
1 664088 463146922
1 25960 775984834
1 781879 -448992264
2 565663 838278
1 931987 -590173296
1 245474 827710988
1 749 360683332
2 550184 871857
2 122587 713985
1 317114 119621917
1 3478 167185614
2 136188 572646
2 147602 443454
1 505775 434652186
1 257009 116499900
1 417744 -205197757
1 864171 263902826
1 137282 -803272264
2 399772 548363
1 223909 -658381181
1 997233 -354314063
1 511787 244255001
1 394425 -417796160
2 251009 405269
1 739406 488439436
2 655091 787132
1 176483 146237801
1 363566 -926721718
1 992349 814098148
2 285477 589668
1 668919 -869231412
1 145588 316757419
1 863110 -659164036
1 576976 957760275
2 574687 657268
1 949328 -595339694
1 372384 286621319
2 413732 474904
1 224092 -198146729
2 192981 779428
1 732482 200150605
1 470928 -343001287
1 840371 -922862515
1 835988 -652950231
1 391723 -603866661
1 85138 667574761
2 452495 691468
2 583909 729177
1 271173 465148346
1 720324 -959303824
1 810594 421902218
1 143398 809822215
1 563055 339438524
2 812218 908292
1 639882 -501107776
1 743994 -757374396
1 217563 -11192718
1 4947 921151595
1 685380 -846433101
1 555065 525477798
1 266553 405060361
2 469208 836557
1 62161 -642880183
2 215217 798889
2 725054 770277
2 101328 621296
1 13179 -646650291
1 122102 994058641
2 10348 856656
1 966601 334521136
1 245099 907481050
2 112261 130525
1 679988 -891556122
1 859879 743379844
1 747503 -765272996
1 888607 -839951264
2 93501 238721
1 283374 -618213084
1 460342 726849743
1 335390 602143177
1 524468 95018723
1 914724 780733971
2 468987 929887
2 268832 786365
1 858408 597428579
2 346738 803273
1 898758 188103481
1 728766 -71566790
2 192978 874710
1 568936 898576115
2 103102 290981
1 642420 -574853661
1 148578 -843974838
1 176435 -448907834
1 56557 306842277
2 64554 217172
2 665731 748817
1 800297 216493149
2 179347 965397
1 133941 14441126
1 189075 -232410219
2 376285 406365
2 771735 904584
1 614643 219944279
1 876685 -362798647
1 304389 147538210
1 64311 158182649
2 279016 332567
1 333583 -988530902
1 877398 235286567
1 916286 -697494459
1 931956 -737786121
1 871667 -1363481
1 862389 106078208
1 134163 566033885
2 70043 768247
2 84582 636317
1 547636 747191372
1 723382 -788272956
1 666932 821505653
2 725254 869275
1 290506 -579828115
1 38147 -485672908
1 620115 527384208
1 844631 740138591
1 934379 426360403
1 832810 844040012
1 117199 672868964
2 17317 509634
1 913090 -93164823
2 323402 326987
2 67072 357301
1 149038 299610289
2 336191 962238
1 594317 709069959
1 189646 109350137
1 879216 846092918
1 325238 -898618814
1 453956 703636837
1 845090 724592647
2 646647 977444
2 124329 488010
1 531501 -302331337
1 279156 314508469
1 314811 491233098
2 84647 101671
2 416530 685393
1 778550 -336396943
1 397081 675501575
1 65413 275186112
1 211850 -928610610
1 818549 -526240133
1 195233 -676908717
1 255002 419098928
1 327149 448515888
1 34949 276816040
1 233496 918306037
1 269504 3761141
2 61598 672492
1 692448 -413141613
2 147052 528686
1 448445 330316667
2 136781 952448
1 261484 629658764
2 123526 255621
1 616406 97159491
1 884521 -984807936
1 125797 -934137492
1 765387 610347558
2 125999 146260
1 750480 -876192346
1 973949 676551207
2 22179 180545
2 250773 639144
1 255272 60927079
1 509920 667798690
2 413847 545932
1 604478 -968649190
1 880114 460004116
2 761096 893152
1 143859 687783865
1 720573 -585120632
1 680556 146498334
1 757053 -294165477
1 274943 671303252
1 41632 714875446
1 488562 825021519
1 283007 222787424
2 249362 412126
1 633268 -463229387
1 634884 -305587438
1 329319 79227491
1 600802 -47559001
1 186327 -51468318
1 191760 712871251
2 39406 367636
2 41157 582351
1 577351 245295770
1 474618 -125259375
1 688206 141327287
1 557142 969369399
1 569539 183453469
1 102284 850797958
1 317522 928130145
1 107907 -699725786
1 551101 51978412
1 217655 853096372
1 854756 -939137285
2 560056 977310
2 591387 620447
2 61862 90232
1 742113 -882304959
2 659715 718876
1 761800 -708604350
1 756719 17654359
1 462780 38602832
1 169915 255161665
1 381355 499657019
1 31112 -333015479
1 126433 -924247678
1 670086 169534950
1 436612 15433666
2 486648 741670
2 504563 566466
1 358519 -791422666
1 673764 115314821
1 915082 -662555164
2 397861 686204
1 489055 556325944
1 387103 -246695140
1 422148 -890825096
1 173502 -548586584
2 633191 886762
2 276929 510056
1 517026 -441430954
1 488392 491684224
1 448634 240445678
1 377517 -573994236
2 518597 709385
1 735640 -846229038
1 86364 590914310
1 20862 -512319908
1 372675 713265862
1 760894 708180061
1 96051 252507202
2 39095 537738
2 91808 476916
1 821958 -844105283
1 61267 -388408740
1 897882 489299486
1 676347 107886253
1 23467 -112301264
1 984659 -967024790
1 83315 37752038
2 694832 711116
2 81449 971128
1 198647 632622467
1 332218 -934468434
2 675656 804005
1 361327 625106603
1 28619 366743860
2 162691 497257
1 593449 -456414619
1 124210 199264923
1 946519 -82704918
1 459238 530549336
1 268943 -48727514
1 34727 293301182
1 759840 481741397
1 768764 87183351
2 593583 932171
1 455394 -525922116
2 230180 285726
2 594309 800515
1 877293 796699226
2 762251 948732
2 188400 873018
2 327314 495289
2 279375 531107
1 294938 -960300116
2 12588 831684
1 482061 -835423674
1 951142 887411589
1 526856 -117114118
1 576829 -393527031
1 759873 1630160
1 484177 -308312004
1 390425 990294470
2 980 263652
1 722943 -83276459
1 35471 -893949089
1 673326 -908175877
1 213608 -406647796
1 617978 460272667
1 200024 -610889672
2 500157 570006
1 981902 76599081
1 911790 56331723
1 108190 -657796441
1 1609 270431318
1 547166 538978239
1 70707 -944465467
1 568600 -489756293
1 682882 -324398569
1 230245 -589328073
1 943992 459821448
1 168364 268110424
2 195417 455197
1 335488 823533597
1 749343 -104042522
1 349037 698072017
1 306701 446001671
1 936767 -703359616
1 75678 360799134
1 240827 753084613
1 62896 929356197
1 967731 111593305
2 296047 578457
1 453518 -483565483
1 250474 3826402
1 440310 -445082741
1 872849 -687155034
1 197074 -977024238
1 141986 763474067
2 255495 467963
2 467637 787125
1 486244 -229905508
1 804120 972188713
2 107524 378998
1 425663 -646835706
1 121371 -307119538
1 372440 -69922013
1 141521 550138826
1 705577 880528657
1 59202 991827756
1 199210 963792683
1 696559 -938102294
1 302670 187363529
2 352715 720616
1 412123 134181961
1 918495 823739610
1 209646 -553903061
1 815532 -206836398
1 216685 -194310179
1 962434 -761899667
1 588246 763736927
2 207521 300739
2 178367 712012
1 872410 657672849
1 366602 62423387
1 248001 -752083371
2 103796 149879
1 269965 -53838842
1 254041 -914386384
2 471555 482043
1 417092 886553187
1 60341 -580208190
1 793490 -650586413
2 304727 449507
1 477299 -880374738
1 959494 -746835069
1 535064 -865951963
2 253401 518713
2 69463 116043
2 422645 486174
1 615297 241475227
1 670184 -556486282
1 282295 -861416945
1 163840 643632571
1 510207 626603316
1 674146 701707306
1 580998 -116505364
2 60534 685270
1 742377 -888943743
1 46969 75366414
1 689369 469082379
1 888732 -788672963
1 204431 171770771
2 911280 918915
2 500576 907727
2 539224 879761
1 354273 830816816
1 878106 153010942
1 981104 -710074400
1 28097 866401002
2 732494 855514
2 319091 524206
2 410867 664861
1 349422 -679046567
2 299708 618491
2 33435 295408
2 449682 492020
1 508445 259530149
2 222222 549451
1 535953 -325795885
1 639159 -729106126
1 370570 315077732
1 590308 196604155
1 454668 674781089
1 287704 767448705
1 481768 -5066751
1 752241 146855147
2 86382 976837
1 317004 991278971
1 788285 -370352424
1 413282 -613533813
1 94252 -873504298
1 876260 172272553
1 17513 -962168695
1 985715 -76793016
1 747872 -323464613
2 533074 701110
1 575077 -444762832
1 137196 -774871201
1 990531 -954197253
2 54141 88342
1 741761 829810478
1 484653 224224988
1 721562 -86026881
1 491874 737380980
2 265134 929201
1 812662 912450797
1 295963 552138925
2 548410 626636
1 894584 27481533
1 234849 -528473776
2 549608 943361
1 295272 -5386587
2 362281 816411
2 50151 158739
1 673843 565794489
1 858802 -866252832
1 766484 938030495
1 448742 -20907500
1 626897 170436590
2 443379 504844
2 524764 702836
2 287687 615212
2 15783 379231
1 707404 -521762157
1 643983 -666815177
2 11930 808555
1 405506 -557595938
1 519699 899179952
2 14778 62950
1 371840 955290008
2 265521 629423
1 905793 133217062
1 54754 -120282138
1 437327 374107192
1 633432 738685425
1 811034 181947932
1 902676 644857638
2 615858 726105
1 530433 902999766
1 656869 -721821986
1 147775 158659511
2 737114 773877
2 149118 885190
1 162440 -53307046
1 357696 -503416091
1 561082 304868668
1 563890 -856546317
1 533479 243652839
1 582690 674702728
1 176950 619071926
1 495367 -192447090
1 198251 372583576
1 877801 406197607
1 667023 -197267542
1 919903 -19822464
2 283817 665282
1 931969 64724737
1 894626 640213498
1 285705 119108419
2 415215 982341
2 338615 952139
1 987346 -366328397
1 839057 -357995312
1 940821 -123069838
2 62295 853285
1 690135 -88210761
1 925333 145113186
1 795412 973379627
1 428790 -516167504
1 961875 -380935778
1 105067 -868740121
1 953625 -31733840
1 392938 473386350
1 966654 -987792004
1 265970 -778803886
1 377657 -300252648
1 500832 896018917
2 209677 958526
2 256007 784802
1 628953 830876864
1 437621 -526806555
2 358165 478104
1 517197 -580032377
2 414793 659705
1 969282 -838034546
1 261793 -50972515
2 350660 433939
1 244428 634078874
2 467672 734368
1 429504 -247549571
1 848246 -116300616
2 580512 886362
2 822790 846393
1 197196 -246219369
1 811384 -967105160
1 195784 -597846483
2 513762 706129
1 159625 -939455521
1 342251 -827437859
1 20356 549995677
1 978257 967004055
1 101781 921768534
1 839299 113966276
1 480421 657754254
1 354736 -290711501
1 663329 -857109719
1 774168 -88651053
1 560229 102086191
2 233092 964479
1 647408 -643870635
1 344919 154909060
2 725418 909220
1 118439 -1028089
1 565799 -305521128
1 147909 -969124752
1 381809 838357237
1 816705 -225940662
2 533704 662150
1 886236 413481446
2 842037 887198
2 677233 864017
2 255019 970668
2 138341 664646
1 445529 -278734972
2 452202 812394
1 23834 467149907
1 386251 -345542425
1 412062 -661619800
2 147979 490301
1 347292 -305387312
1 993248 618037019
1 939148 -21925176
1 485396 488718076
1 231980 462497125
2 338838 813389
1 111862 655326500
1 489405 -446118091
2 31034 665659
2 71868 230356
2 446570 736545
1 586706 904344066
1 569693 -860871699
2 404040 759326
2 589907 805985
1 660602 -923775905
1 753633 257527759
2 160990 395202
1 21306 -516557168
2 228708 622335
1 936842 -36358540
1 566786 -14131858
1 363329 374484149
1 535406 335105644
1 539128 562856511
1 325504 -120320014
1 436949 200370872
2 285582 752771
1 49832 -480155897
1 353772 -616048462
1 942620 745412779
1 701518 234468755
1 974153 -244852693
1 796322 560968388
2 500896 650189
1 546666 -425138160
1 731833 -814143834
1 951259 349221550
2 97991 110956
1 848036 -238325135
1 120800 -893366106
1 657449 134105902
1 596324 217837637
1 57040 640588501
2 173280 787309
1 377065 -281043588
1 119914 -557003240
